0
"1,4,1"
"1,12,1"
"1,16,1"
"1,19,1"
"1,33,1"
"1,7,1"
"2,35,1"
"2,7,1"
"2,2,1"
"2,22,1"
"2,24,1"
"2,25,1"
"3,26,1"
"3,17,1"
"3,9,1"
"3,24,1"
"3,4,1"
"3,23,1"
"4,32,1"
"4,4,1"
"4,12,1"
"4,29,1"
"4,31,1"
"4,1,1"
"5,22,1"
"5,9,1"
"5,15,1"
"5,35,1"
"5,32,1"
"5,7,1"
"6,2,1"
"7,23,1"
"7,33,1"
"7,28,1"
"7,34,1"
"7,0,1"
"7,5,1"
"8,28,1"
"8,19,1"
"8,0,1"
"8,25,1"
"8,11,1"
"8,33,1"
"9,15,1"
"9,23,1"
"9,21,1"
"9,10,1"
"9,32,1"
"9,19,1"
"10,1,1"
"10,21,1"
"10,36,1"
"10,35,1"
"10,8,1"
"10,31,1"
"11,16,1"
"11,26,1"
"11,9,1"
"11,20,1"
"11,15,1"
"11,13,1"
"12,0,1"
"12,25,1"
"12,24,1"
"12,2,1"
"12,18,1"
"12,30,1"
"13,13,1"
"13,21,1"
"13,20,1"
"13,12,1"
"14,22,1"
"14,17,1"
"14,6,1"
"14,30,1"
"14,36,1"
"14,31,1"
"15,11,1"
"15,14,1"
"15,8,1"
"16,36,1"
"16,6,1"
"16,20,1"
"16,10,1"
"16,29,1"
"16,27,1"
"17,30,1"
"17,3,1"
"17,5,1"
"17,11,1"
"17,1,1"
"17,28,1"
"18,14,1"
"18,5,1"
"18,26,1"
"18,27,1"
"18,16,1"
"18,17,1"
"19,18,1"
"19,14,1"
"19,6,1"
"19,27,1"
"19,34,1"
"19,3,1"
"20,18,1"
"20,3,1"
"20,10,1"
